# maritime_routes.csv — curated Silk Road maritime polylines
#
# Two named segments, each a coast-following polyline of waypoints chosen so
# the rendered line stays in water (no land-crossings) and passes through the
# major attested ancient harbours of the Periplus Maris Erythraei (1st c. CE)
# and the medieval Indian-Ocean / South-China-Sea sea lanes (Hansen 2012;
# Sen 2014; Casson 1989; Tomber 2008).
#
# Each waypoint is tagged with its modern name so reviewers can audit the choice.
# Routes are drawn as straight-line (PlateCarree) polylines in order listed.
# Density is high enough that no segment crosses land.
#
# Columns: route, order, lon, lat, name
# Routes:
#   med  — Eastern->Western Mediterranean coastal route from Levant to Cadiz.
#   sea  — Indian Ocean Maritime Silk Road, Levant->Java.
#
# DO NOT HAND-EDIT silently — keep order column monotonically increasing integers.
route,order,lon,lat,name
# Mediterranean (Levant -> Iberia)
# Note: route through Aegean goes E of Peloponnese via Cape Sounion to avoid
# drawing over the Peloponnese peninsula. N. African waypoints are pushed
# ~0.8-1.0 deg north of the coastline (which lies at 35.7-37.3 deg N).
med,10,35.07,32.50,Caesarea Maritima (Levant terminus)
med,20,34.65,33.10,Levantine coast off Akko/Tyre
med,30,34.00,34.50,off Beirut
med,40,33.10,35.10,Pafos / SW Cyprus
med,50,32.45,34.75,SE Cyprus offing
med,60,30.80,35.00,N. of Alexandria offing
med,70,28.20,36.40,Rhodes
med,80,26.90,37.00,Kos / SE Aegean
med,90,25.30,36.20,S. Cretan Sea (Heraklion offing)
med,100,24.10,37.40,off Cape Sounion (SE Attica — avoids Peloponnese)
med,110,23.50,37.00,off E. Peloponnese coast
med,120,23.00,36.50,off Cape Malea (SE Peloponnese tip)
med,130,22.50,36.40,off Cape Matapan (S. tip of Peloponnese)
med,140,21.70,37.00,W. Peloponnese (Methoni)
med,150,19.80,39.50,Otranto Strait
med,160,18.10,40.10,Brindisi
med,170,17.20,38.70,off Calabria / Cape Rizzuto (avoids toe of Italy)
med,180,15.90,37.90,off Cape Spartivento (S. tip of Calabria)
med,190,15.60,38.20,Strait of Messina
med,200,14.50,35.90,Malta channel
med,210,12.50,37.10,W. Sicily / Lilybaeum
med,220,11.10,37.50,Sicilian Channel (N. of Tunisia coast)
med,230,10.20,37.70,Carthage / Tunis offing (coast at ~37.0 N — stay north)
med,240,9.10,38.00,Cap Bon offing (N. of cape at 37.1 N)
med,250,8.00,38.00,Bizerte offing
med,260,5.40,38.00,Bejaia offing (coast at 36.75 N — stay north)
med,270,3.00,37.80,Algiers offing (coast at 36.77 N — stay north)
med,280,0.00,37.20,off Mostaganem / W. Algeria
med,290,-0.65,36.80,Oran offing (Oran city at 35.70 N — stay north)
med,300,-2.40,36.20,Melilla offing (coast at ~35.3 N)
med,310,-4.40,35.90,Strait of Gibraltar (Pillars of Hercules)
med,320,-5.60,36.10,Gulf of Cadiz
med,330,-6.30,36.50,Cadiz
# Indian Ocean Maritime Silk Road (Levant -> Java)
# Levant -> Red Sea: coastal waypoints stay offshore of Sinai/Gaza.
# Aden -> Cana: dips south into Gulf of Aden (~12.5-13 N) to avoid Yemen
# coast (which rises from 12.8 N at Aden to ~14.5 N at Mukalla).
# Sayhut -> Khor Rori: intermediate waypoint at Ras Fartak to avoid Dhofar.
sea,10,35.07,32.50,Caesarea Maritima (terminus)
sea,20,34.45,31.50,off Gaza coast (offshore)
sea,30,33.50,31.10,off N. Sinai coast (offshore)
sea,40,33.05,31.05,Pelusium (Nile Delta caravan head)
